"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jan 22 15:40:46 GMT 2023","Sun Jan 22 15:40:46 GMT 2023","0","","Add Notes","","Add Notes","skip tutorial bank","skip tutorial bank",""
"passed","Sun Jan 22 15:40:14 GMT 2023","Sun Jan 22 15:40:16 GMT 2023","1965","","Add Notes","","Add Notes","skip tutorial","skip tutorial",""
"passed","Sun Jan 22 15:40:16 GMT 2023","Sun Jan 22 15:40:26 GMT 2023","10166","","Add Notes","","Add Notes","add a note, save changes & verify note","add a note, save changes & verify note",""
"failed","Sun Jan 22 15:40:26 GMT 2023","Sun Jan 22 15:40:46 GMT 2023","19886","","Add Notes","","Add Notes","Delete a note","Delete a note",""
